name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,id
Dean Henderson,CRY,Crystal Palace,GK,1,0,0,0,0,true,sr:player:353202
Borna Sosa,CRY,Crystal Palace,DEF,,0,0,0,0,false,sr:player:357584
Remi Matthews,CRY,Crystal Palace,GK,31,0,0,0,0,true,sr:player:581610
Odsonne Edouard,CRY,Crystal Palace,FWD,22,0,0,0,0,true,sr:player:769147
Daichi Kamada,CRY,Crystal Palace,MID,18,0,0,0,0,true,sr:player:827253
Cheick Oumar Doucoure,CRY,Crystal Palace,MID,28,0,0,0,0,true,sr:player:1322160
Naouirou Ahamada,CRY,Crystal Palace,MID,29,0,0,0,0,true,sr:player:1644134
Chadi Riad,CRY,Crystal Palace,DEF,34,0,0,0,0,true,sr:player:2070773
Jesuran Rak-Sakyi,CRY,Crystal Palace,MID,49,0,0,0,0,true,sr:player:2144758
Malcolm Ebiowei,CRY,Crystal Palace,FWD,23,0,0,0,0,true,sr:player:2292499
Kaden Rodney,CRY,Crystal Palace,MID,42,0,0,0,0,true,sr:player:2426383
Zach Marsh,CRY,Crystal Palace,FWD,63,0,0,0,0,true,sr:player:2652955
Franco Umeh Chibueze,CRY,Crystal Palace,FWD,46,0,0,0,0,true,sr:player:2769695
Asher Agbinone,CRY,Crystal Palace,FWD,64,0,0,0,0,true,sr:player:2836701
Caleb Kporha,CRY,Crystal Palace,DEF,58,0,0,0,0,true,sr:player:2836707
Wayne Hennessey,NFO,Nottingham,GK,13,0,0,0,0,true,sr:player:16620
Matz Sels,NFO,Nottingham,GK,26,0,0,0,0,true,sr:player:78152
Willy Boly,NFO,Nottingham,DEF,30,0,0,0,0,true,sr:player:139310
Emmanuel Dennis,NFO,Nottingham,FWD,25,0,0,0,0,true,sr:player:1010017
Josh Bowler,NFO,Nottingham,MID,38,0,0,0,0,true,sr:player:1132695
David Carmo,NFO,Nottingham,DEF,36,0,0,0,0,true,sr:player:1248558
Omar Richards,NFO,Nottingham,DEF,27,0,0,0,0,true,sr:player:1249404
Dan Ndoye,NFO,Nottingham,FWD,14,0,0,0,0,false,sr:player:1556269
Dale Taylor,NFO,Nottingham,FWD,37,0,0,0,0,true,sr:player:1642886
Carlos Miguel Carlos Miguel,NFO,Nottingham,GK,33,0,0,0,0,true,sr:player:1692807
Igor Jesus Igor Jesus,NFO,Nottingham,FWD,19,0,0,0,0,false,sr:player:1744189
Felipe Morato,NFO,Nottingham,DEF,4,0,0,0,0,true,sr:player:1888546
Marko Stamenic,NFO,Nottingham,MID,32,0,0,0,0,true,sr:player:1957333
Jair Cunha,NFO,Nottingham,DEF,,0,0,0,0,false,sr:player:2407025
Zach Abbott,NFO,Nottingham,DEF,44,0,0,0,0,true,sr:player:2426393
Eric da Silva Moreira,NFO,Nottingham,DEF,17,0,0,0,0,true,sr:player:2610745
Aaron Bott,NFO,Nottingham,GK,63,0,0,0,0,false,sr:player:2653119
Jimmy Sinclair,NFO,Nottingham,MID,61,0,0,0,0,false,sr:player:3024884
Archie Whitehall,NFO,Nottingham,MID,51,0,0,0,0,false,sr:player:3024886
Adam Berry,NFO,Nottingham,FWD,99,0,0,0,0,false,sr:player:3024888
Stefan Ortega,MCI,Manchester City,GK,18,0,0,0,0,true,sr:player:125274
Nathan Ake,MCI,Manchester City,DEF,6,0,0,0,0,true,sr:player:149663
Marcus Bettinelli,MCI,Manchester City,GK,13,0,0,0,0,true,sr:player:257993
Manuel Akanji,MCI,Manchester City,DEF,25,0,0,0,0,true,sr:player:383560
Kalvin Phillips,MCI,Manchester City,MID,4,0,0,0,0,true,sr:player:790679
Rodrigo Rodri,MCI,Manchester City,MID,16,0,0,0,0,true,sr:player:844073
Tijani Reijnders,MCI,Manchester City,MID,4,0,0,0,0,false,sr:player:1253990
Rayan Cherki,MCI,Manchester City,MID,29,0,0,0,0,false,sr:player:1601352
James Trafford,MCI,Manchester City,GK,1,0,0,0,0,false,sr:player:1724642
Issa Kabore,MCI,Manchester City,DEF,78,0,0,0,0,true,sr:player:1869664
Oscar Bobb,MCI,Manchester City,MID,52,0,0,0,0,true,sr:player:1956474
Josh Wilson-Esbrand,MCI,Manchester City,DEF,97,0,0,0,0,true,sr:player:2223424
Sverre Nypan,MCI,Manchester City,MID,,0,0,0,0,false,sr:player:2284895
Lakyle Samuel,MCI,Manchester City,DEF,95,0,0,0,0,true,sr:player:2437719
Claudio Echeverri,MCI,Manchester City,MID,30,0,0,0,0,true,sr:player:2616751
Vitor Reis,MCI,Manchester City,DEF,22,0,0,0,0,true,sr:player:2714228
Stephen Mfuni,MCI,Manchester City,DEF,91,0,0,0,0,true,sr:player:2714276
James Milner,BRI,Brighton,MID,20,0,0,0,0,true,sr:player:791
Jason Steele,BRI,Brighton,GK,23,0,0,0,0,true,sr:player:31867
Adam Webster,BRI,Brighton,DEF,4,0,0,0,0,true,sr:player:216308
Joel Veltman,BRI,Brighton,DEF,34,0,0,0,0,true,sr:player:219572
Solly March,BRI,Brighton,MID,7,0,0,0,0,true,sr:player:301288
Olivier Boscagli,BRI,Brighton,DEF,21,0,0,0,0,false,sr:player:545968
Igor Julio Igor,BRI,Brighton,DEF,3,0,0,0,0,true,sr:player:1008323
Tom McGill,BRI,Brighton,GK,38,0,0,0,0,true,sr:player:1089756
Maxim De Cuyper,BRI,Brighton,DEF,29,0,0,0,0,false,sr:player:1624310
Jeremy Sarmiento,BRI,Brighton,FWD,16,0,0,0,0,true,sr:player:1793748
Andy Moran,BRI,Brighton,MID,35,0,0,0,0,true,sr:player:1952162
Abdallah Sima,BRI,Brighton,FWD,37,0,0,0,0,true,sr:player:2073733
Diego Coppola,BRI,Brighton,DEF,42,0,0,0,0,false,sr:player:2205602
Stefanos Tzimas,BRI,Brighton,FWD,9,0,0,0,0,true,sr:player:2505175
Tom Watson,BRI,Brighton,FWD,14,0,0,0,0,false,sr:player:2535393
Charalampos Kostoulas,BRI,Brighton,FWD,19,0,0,0,0,false,sr:player:2544947
Malick Yalcouye,BRI,Brighton,MID,36,0,0,0,0,true,sr:player:2733788
Ben Davies,TOT,Tottenham,DEF,33,0,0,0,0,true,sr:player:94758
Joao Palhinha,TOT,Tottenham,MID,16,0,0,0,0,false,sr:player:364612
Guglielmo Vicario,TOT,Tottenham,GK,1,0,0,0,0,true,sr:player:553606
Kevin Danso,TOT,Tottenham,DEF,4,0,0,0,0,false,sr:player:803610
Manor Solomon,TOT,Tottenham,MID,27,0,0,0,0,true,sr:player:936696
Brandon Austin,TOT,Tottenham,GK,40,0,0,0,0,true,sr:player:1058637
Bryan Gil Bryan Gil,TOT,Tottenham,MID,11,0,0,0,0,true,sr:player:1298208
Radu Dragusin,TOT,Tottenham,DEF,6,0,0,0,0,true,sr:player:1642306
Antonin Kinsky,TOT,Tottenham,GK,31,0,0,0,0,true,sr:player:1726752
Alfie Devine,TOT,Tottenham,MID,45,0,0,0,0,true,sr:player:2116424
Kota Takai,TOT,Tottenham,DEF,,0,0,0,0,false,sr:player:2298329
Jamie Donley,TOT,Tottenham,FWD,43,0,0,0,0,true,sr:player:2438217
Tyrese Hall,TOT,Tottenham,MID,49,0,0,0,0,true,sr:player:2443355
Luka Vuskovic,TOT,Tottenham,DEF,80,0,0,0,0,false,sr:player:2443361
Callum Olusesi,TOT,Tottenham,MID,64,0,0,0,0,true,sr:player:2463947
William Lankshear,TOT,Tottenham,FWD,42,0,0,0,0,true,sr:player:2469939
George Abbott,TOT,Tottenham,MID,50,0,0,0,0,false,sr:player:2592911
Yang Min-hyeok,TOT,Tottenham,MID,18,0,0,0,0,true,sr:player:2626595
Rio Kyerematen,TOT,Tottenham,MID,57,0,0,0,0,true,sr:player:2807271
Dante Cassanova,TOT,Tottenham,DEF,59,0,0,0,0,true,sr:player:2871221
Luca Williams-Barnet,TOT,Tottenham,FWD,78,0,0,0,0,true,sr:player:2891569
Karl Darlow,LEE,Leeds United,GK,26,0,0,0,0,false,sr:player:123689
Alex Cairns,LEE,Leeds United,GK,21,0,0,0,0,false,sr:player:162417
Patrick Bamford,LEE,Leeds United,FWD,9,0,0,0,0,false,sr:player:204336
Sam Byram,LEE,Leeds United,DEF,25,0,0,0,0,false,sr:player:254713
Daniel James,LEE,Leeds United,FWD,7,0,0,0,0,false,sr:player:355520
Lukas Nmecha,LEE,Leeds United,FWD,14,0,0,0,0,false,sr:player:769115
Ao Tanaka,LEE,Leeds United,MID,22,0,0,0,0,false,sr:player:772795
Sebastiaan Bornauw,LEE,Leeds United,DEF,23,0,0,0,0,false,sr:player:936428
Joe Rodon,LEE,Leeds United,DEF,6,0,0,0,0,false,sr:player:948750
Gabriel Gudmundsson,LEE,Leeds United,DEF,3,0,0,0,0,false,sr:player:971145
Ethan Ampadu,LEE,Leeds United,DEF,4,0,0,0,0,false,sr:player:974231
Pascal Struijk,LEE,Leeds United,DEF,5,0,0,0,0,false,sr:player:978125
Anton Stach,LEE,Leeds United,MID,18,0,0,0,0,false,sr:player:1021607
Joel Piroe,LEE,Leeds United,FWD,10,0,0,0,0,false,sr:player:1058433
Ilia Gruev,LEE,Leeds United,MID,44,0,0,0,0,false,sr:player:1065580
Lucas Perri,LEE,Leeds United,GK,,0,0,0,0,false,sr:player:1121667
Jaka Bijol,LEE,Leeds United,DEF,15,0,0,0,0,false,sr:player:1233436
Largie Ramazani,LEE,Leeds United,FWD,17,0,0,0,0,false,sr:player:1297422
Illan Meslier,LEE,Leeds United,GK,1,0,0,0,0,false,sr:player:1322902
Brenden Aaronson,LEE,Leeds United,MID,11,0,0,0,0,false,sr:player:1398657
Jayden Bogle,LEE,Leeds United,DEF,2,0,0,0,0,false,sr:player:1423711
Joe Gelhardt,LEE,Leeds United,FWD,30,0,0,0,0,false,sr:player:1564534
Sam Greenwood,LEE,Leeds United,FWD,19,0,0,0,0,false,sr:player:1724640
Isaac Schmidt,LEE,Leeds United,MID,33,0,0,0,0,false,sr:player:1830502
Gnonto Wilfried,LEE,Leeds United,FWD,29,0,0,0,0,false,sr:player:1949774
Charlie Crew,LEE,Leeds United,MID,50,0,0,0,0,false,sr:player:2256197
Darko Gyabi,LEE,Leeds United,MID,18,0,0,0,0,false,sr:player:2269345
Mateo Joseph Mateo Joseph,LEE,Leeds United,FWD,19,0,0,0,0,false,sr:player:2491027
Harry Gray,LEE,Leeds United,FWD,45,0,0,0,0,false,sr:player:2974627
Rhys Chadwick,LEE,Leeds United,MID,51,0,0,0,0,false,sr:player:3024882
Tom Heaton,MUN,Manchester United,GK,22,0,0,0,0,true,sr:player:18122
Andre Onana,MUN,Manchester United,GK,24,0,0,0,0,true,sr:player:772389
Altay Bayindir,MUN,Manchester United,GK,1,0,0,0,0,true,sr:player:909328
Tyrell Malacia,MUN,Manchester United,DEF,12,0,0,0,0,true,sr:player:934214
Antony Matheus Antony,MUN,Manchester United,FWD,21,0,0,0,0,true,sr:player:1614982
Dermot Mee,MUN,Manchester United,GK,45,0,0,0,0,true,sr:player:1722064
Leny Yoro,MUN,Manchester United,DEF,15,0,0,0,0,true,sr:player:2264779
Kobbie Mainoo,MUN,Manchester United,MID,37,0,0,0,0,true,sr:player:2264945
Tyler Fredricson,MUN,Manchester United,DEF,33,0,0,0,0,true,sr:player:2264953
Ethan Williams,MUN,Manchester United,MID,56,0,0,0,0,false,sr:player:2271115
Harry Amass,MUN,Manchester United,DEF,41,0,0,0,0,true,sr:player:2534697
Patrick Dorgu,MUN,Manchester United,DEF,13,0,0,0,0,true,sr:player:2631331
Toby Collyer,MUN,Manchester United,MID,43,0,0,0,0,true,sr:player:2651045
Ayden Heaven,MUN,Manchester United,DEF,26,0,0,0,0,true,sr:player:2691816
Chido Obi-Martin,MUN,Manchester United,FWD,32,0,0,0,0,true,sr:player:2711836
Sekou Kone,MUN,Manchester United,DEF,42,0,0,0,0,true,sr:player:2718580
Jack Fletcher,MUN,Manchester United,MID,38,0,0,0,0,true,sr:player:2736255
Bendito Mantato,MUN,Manchester United,MID,70,0,0,0,0,false,sr:player:2758635
Diego Leon,MUN,Manchester United,DEF,30,0,0,0,0,false,sr:player:2828307
Reece Munro,MUN,Manchester United,DEF,65,0,0,0,0,true,sr:player:2883987
Callum Wilson,WHU,West Ham,FWD,,0,0,0,0,true,sr:player:113956
Wes Foderingham,WHU,West Ham,GK,21,0,0,0,0,true,sr:player:187861
Maxwel Cornet,WHU,West Ham,MID,22,0,0,0,0,true,sr:player:280439
Konstantinos Mavropanos,WHU,West Ham,DEF,15,0,0,0,0,true,sr:player:950080
Andy Irving,WHU,West Ham,MID,39,0,0,0,0,true,sr:player:1012359
Nayef Aguerd,WHU,West Ham,DEF,5,0,0,0,0,true,sr:player:1117645
Jean-Clair Todibo,WHU,West Ham,DEF,25,0,0,0,0,false,sr:player:1561172
Krisztian Hegyi,WHU,West Ham,GK,47,0,0,0,0,true,sr:player:1641604
Callum Marshall,WHU,West Ham,FWD,50,0,0,0,0,true,sr:player:2267743
Freddie Potts,WHU,West Ham,MID,32,0,0,0,0,false,sr:player:2275129
Kaelan Casey,WHU,West Ham,DEF,42,0,0,0,0,true,sr:player:2439761
George Earthy,WHU,West Ham,MID,40,0,0,0,0,false,sr:player:2439767
Oliver Scarles,WHU,West Ham,MID,30,0,0,0,0,true,sr:player:2464763
Lewis Orford,WHU,West Ham,MID,61,0,0,0,0,true,sr:player:2488821
El Hadji Malick Diouf,WHU,West Ham,DEF,12,0,0,0,0,false,sr:player:2580219
Luis Guilherme Luis Guilherme,WHU,West Ham,MID,17,0,0,0,0,true,sr:player:2582799
Mohamadou Kante,WHU,West Ham,MID,55,0,0,0,0,true,sr:player:2666299
Airidas Golambeckis,WHU,West Ham,DEF,58,0,0,0,0,false,sr:player:3029476
Preston Fearon,WHU,West Ham,MID,68,0,0,0,0,false,sr:player:3029478
Armando Broja,CHE,Chelsea,FWD,19,0,0,0,0,true,sr:player:1297776
Benoit Badiashile,CHE,Chelsea,DEF,5,0,0,0,0,true,sr:player:1299814
Mykhailo Mudryk,CHE,Chelsea,FWD,10,0,0,0,0,true,sr:player:1299850
Wesley Fofana,CHE,Chelsea,DEF,29,0,0,0,0,true,sr:player:1402953
Robert Sanchez,CHE,Chelsea,GK,1,0,0,0,0,true,sr:player:1500083
Filip Jorgensen,CHE,Chelsea,GK,12,0,0,0,0,true,sr:player:1630632
Gaga Slonina,CHE,Chelsea,GK,44,0,0,0,0,true,sr:player:1712859
David Datro Fofana,CHE,Chelsea,FWD,,0,0,0,0,true,sr:player:2123150
Carney Chukwuemeka,CHE,Chelsea,MID,17,0,0,0,0,true,sr:player:2130086
Dario Essugo,CHE,Chelsea,MID,14,0,0,0,0,false,sr:player:2138640
Alfie Gilchrist,CHE,Chelsea,DEF,42,0,0,0,0,true,sr:player:2249329
Teddy Curd,CHE,Chelsea,GK,43,0,0,0,0,true,sr:player:2253819
Jamie Gittens,CHE,Chelsea,FWD,,0,0,0,0,false,sr:player:2265039
Renato Veiga,CHE,Chelsea,DEF,40,0,0,0,0,true,sr:player:2265643
Jorrel Hato,CHE,Chelsea,DEF,,0,0,0,0,false,sr:player:2268227
Andrey Santos,CHE,Chelsea,MID,17,0,0,0,0,true,sr:player:2284455
Kiano Dyer,CHE,Chelsea,MID,33,0,0,0,0,true,sr:player:2437829
Marc Guiu,CHE,Chelsea,FWD,38,0,0,0,0,true,sr:player:2463239
Josh Acheampong,CHE,Chelsea,DEF,34,0,0,0,0,true,sr:player:2464223
Aaron Anselmino,CHE,Chelsea,MID,30,0,0,0,0,true,sr:player:2625033
Estevao Willian Estevao,CHE,Chelsea,FWD,,0,0,0,0,false,sr:player:2714244
Shumaira Mheuka,CHE,Chelsea,FWD,76,0,0,0,0,true,sr:player:2714264
Reggie Walsh,CHE,Chelsea,MID,81,0,0,0,0,true,sr:player:2956109
Landon Emenalo,CHE,Chelsea,MID,72,0,0,0,0,true,sr:player:2973027
John Ruddy,NEW,Newcastle,GK,26,0,0,0,0,true,sr:player:1131
Martin Dubravka,NEW,Newcastle,GK,1,0,0,0,0,true,sr:player:42209
Mark Gillespie,NEW,Newcastle,GK,29,0,0,0,0,true,sr:player:108508
Odysseas Vlachodimos,NEW,Newcastle,GK,19,0,0,0,0,true,sr:player:138149
Emil Krafth,NEW,Newcastle,DEF,17,0,0,0,0,true,sr:player:150396
Jamaal Lascelles,NEW,Newcastle,DEF,6,0,0,0,0,true,sr:player:153444
Nick Pope,NEW,Newcastle,GK,22,0,0,0,0,true,sr:player:162653
Matt Targett,NEW,Newcastle,DEF,13,0,0,0,0,true,sr:player:368134
Aaron Ramsdale,NEW,Newcastle,GK,32,0,0,0,0,true,sr:player:988185
Sven Botman,NEW,Newcastle,DEF,4,0,0,0,0,true,sr:player:1059315
Harrison Ashby,NEW,Newcastle,DEF,30,0,0,0,0,true,sr:player:1428671
Garang Kuol,NEW,Newcastle,FWD,38,0,0,0,0,true,sr:player:2296791
Alex Murphy,NEW,Newcastle,DEF,37,0,0,0,0,true,sr:player:2306785
Travis Hernes,NEW,Newcastle,MID,45,0,0,0,0,false,sr:player:2552281
Trevan Sanusi,NEW,Newcastle,FWD,75,0,0,0,0,true,sr:player:2604627
Park Seung-soo,NEW,Newcastle,MID,99,0,0,0,0,false,sr:player:2626617
Anthony Munda,NEW,Newcastle,MID,54,0,0,0,0,false,sr:player:2691260
Sean Neave,NEW,Newcastle,FWD,62,0,0,0,0,true,sr:player:2691262
Leo Shahar,NEW,Newcastle,DEF,76,0,0,0,0,true,sr:player:2698834
Alfie Harrison,NEW,Newcastle,MID,98,0,0,0,0,true,sr:player:2723200
Marco Bizot,AVL,Aston Villa,GK,40,0,0,0,0,false,sr:player:100390
Emiliano Martinez,AVL,Aston Villa,GK,23,0,0,0,0,true,sr:player:158263
Leander Dendoncker,AVL,Aston Villa,MID,32,0,0,0,0,true,sr:player:190405
Tyrone Mings,AVL,Aston Villa,DEF,5,0,0,0,0,true,sr:player:303638
Emiliano Buendia,AVL,Aston Villa,MID,10,0,0,0,0,true,sr:player:783126
Pau Torres,AVL,Aston Villa,DEF,14,0,0,0,0,true,sr:player:944170
Joe Gauci,AVL,Aston Villa,GK,18,0,0,0,0,true,sr:player:1619862
Samuel Iling-Junior,AVL,Aston Villa,FWD,59,0,0,0,0,true,sr:player:1969761
Lamare Bogarde,AVL,Aston Villa,MID,26,0,0,0,0,true,sr:player:2115982
Lewis Dobbin,AVL,Aston Villa,FWD,33,0,0,0,0,true,sr:player:2227838
Lino Sousa,AVL,Aston Villa,DEF,,0,0,0,0,true,sr:player:2447721
Andres Garcia,AVL,Aston Villa,MID,16,0,0,0,0,true,sr:player:2529211
Travis Patterson,AVL,Aston Villa,DEF,66,0,0,0,0,true,sr:player:2592559
Triston Rowe,AVL,Aston Villa,DEF,45,0,0,0,0,true,sr:player:2865451
Jamaldeen Jimoh,AVL,Aston Villa,MID,56,0,0,0,0,true,sr:player:2865455
Simon Moore,SUN,Sunderland,GK,21,0,0,0,0,false,sr:player:95461
Granit Xhaka,SUN,Sunderland,MID,34,0,0,0,0,false,sr:player:117777
Alan Browne,SUN,Sunderland,MID,8,0,0,0,0,false,sr:player:247459
Patrick Roberts,SUN,Sunderland,MID,10,0,0,0,0,false,sr:player:361326
Luke O'Nien,SUN,Sunderland,MID,13,0,0,0,0,false,sr:player:365812
Nazariy Rusyn,SUN,Sunderland,MID,15,0,0,0,0,false,sr:player:822670
Reinildo Mandava,SUN,Sunderland,DEF,,0,0,0,0,false,sr:player:929870
Ian Poveda,SUN,Sunderland,FWD,36,0,0,0,0,false,sr:player:1047157
Daniel Ballard,SUN,Sunderland,DEF,5,0,0,0,0,false,sr:player:1057153
Wilson Isidor,SUN,Sunderland,FWD,18,0,0,0,0,false,sr:player:1118043
Aji Alese,SUN,Sunderland,DEF,42,0,0,0,0,false,sr:player:1479622
Dennis Cirkin,SUN,Sunderland,DEF,3,0,0,0,0,false,sr:player:1625956
Timothee Pembele,SUN,Sunderland,DEF,6,0,0,0,0,false,sr:player:1626024
Trai Hume,SUN,Sunderland,DEF,32,0,0,0,0,false,sr:player:1642848
Anthony Patterson,SUN,Sunderland,GK,1,0,0,0,0,false,sr:player:1646414
Enzo Le Fee,SUN,Sunderland,MID,28,0,0,0,0,false,sr:player:1742651
Romaine Mundle,SUN,Sunderland,MID,14,0,0,0,0,false,sr:player:1939866
Leo Fuhr Hjelde,SUN,Sunderland,DEF,33,0,0,0,0,false,sr:player:1956462
Niall Huggins,SUN,Sunderland,FWD,2,0,0,0,0,false,sr:player:1977217
Abdoullah Ba,SUN,Sunderland,MID,17,0,0,0,0,false,sr:player:1986921
Robin Roefs,SUN,Sunderland,GK,,0,0,0,0,false,sr:player:1988303
Jay Matete,SUN,Sunderland,MID,27,0,0,0,0,false,sr:player:1988881
Blondy Nna Noukeu,SUN,Sunderland,GK,16,0,0,0,0,false,sr:player:2051481
Dan Neil,SUN,Sunderland,MID,4,0,0,0,0,false,sr:player:2065843
Jenson Seelt,SUN,Sunderland,DEF,23,0,0,0,0,false,sr:player:2094054
Habib Diarra,SUN,Sunderland,MID,,0,0,0,0,false,sr:player:2202982
Chemsdine Talbi,SUN,Sunderland,FWD,,0,0,0,0,false,sr:player:2229694
Luis Semedo,SUN,Sunderland,FWD,9,0,0,0,0,false,sr:player:2249353
Zak Johnson,SUN,Sunderland,MID,41,0,0,0,0,false,sr:player:2271547
Nectarios Triantis,SUN,Sunderland,DEF,25,0,0,0,0,false,sr:player:2271903
Eliezer Mayenda,SUN,Sunderland,FWD,12,0,0,0,0,false,sr:player:2279477
Pierre Ekwah,SUN,Sunderland,MID,39,0,0,0,0,false,sr:player:2285697
Noah Junior Sadiki,SUN,Sunderland,MID,,0,0,0,0,false,sr:player:2337853
Chris Rigg,SUN,Sunderland,MID,11,0,0,0,0,false,sr:player:2532601
Joe Anderson,SUN,Sunderland,DEF,45,0,0,0,0,false,sr:player:2544725
Ahmed Abdullahi,SUN,Sunderland,FWD,29,0,0,0,0,false,sr:player:2558289
Milan Aleksic,SUN,Sunderland,FWD,30,0,0,0,0,false,sr:player:2692126
Harrison Jones,SUN,Sunderland,MID,50,0,0,0,0,false,sr:player:2774887
Kepa Arrizabalaga,ARS,Arsenal,GK,13,0,0,0,0,true,sr:player:232422
David Raya,ARS,Arsenal,GK,1,0,0,0,0,true,sr:player:581310
Viktor Gyokeres,ARS,Arsenal,FWD,14,0,0,0,0,false,sr:player:869030
Albert Sambi Lokonga,ARS,Arsenal,MID,28,0,0,0,0,true,sr:player:1062142
Fabio Vieira,ARS,Arsenal,MID,21,0,0,0,0,true,sr:player:1300574
Karl Hein,ARS,Arsenal,GK,31,0,0,0,0,true,sr:player:1381979
Martin Zubimendi,ARS,Arsenal,MID,36,0,0,0,0,false,sr:player:1725982
Cristhian Mosquera,ARS,Arsenal,DEF,3,0,0,0,0,false,sr:player:2226006
Tommy Setford,ARS,Arsenal,GK,35,0,0,0,0,true,sr:player:2268223
Alexei Rojas,ARS,Arsenal,GK,51,0,0,0,0,true,sr:player:2605855
Joshua Nichols,ARS,Arsenal,DEF,48,0,0,0,0,true,sr:player:2691828
Louie Copley,ARS,Arsenal,MID,38,0,0,0,0,false,sr:player:2736311
Ismeal Kabia,ARS,Arsenal,FWD,43,0,0,0,0,true,sr:player:2758543
Max Dowman,ARS,Arsenal,MID,56,0,0,0,0,false,sr:player:2862771
Andre Harriman-Annous,ARS,Arsenal,MID,71,0,0,0,0,false,sr:player:2869777
Marli Salmon,ARS,Arsenal,DEF,89,0,0,0,0,false,sr:player:3025524
Benjamin Lecomte,FUL,Fulham,GK,,0,0,0,0,false,sr:player:123207
Harrison Reed,FUL,Fulham,MID,6,0,0,0,0,true,sr:player:365802
Sander Berge,FUL,Fulham,MID,16,0,0,0,0,true,sr:player:566232
Jorge Cuenca,FUL,Fulham,MID,15,0,0,0,0,true,sr:player:1096424
Joshua King,FUL,Fulham,DEF,24,0,0,0,0,true,sr:player:1973247
Martial Godo,FUL,Fulham,MID,47,0,0,0,0,true,sr:player:2426365
Sam Amissah,FUL,Fulham,DEF,35,0,0,0,0,true,sr:player:2650007
Wataru Endo,LFC,Liverpool,MID,3,0,0,0,0,true,sr:player:143040
Alisson Ramses Alisson,LFC,Liverpool,GK,1,0,0,0,0,true,sr:player:243609
Freddie Woodman,LFC,Liverpool,GK,28,0,0,0,0,false,sr:player:284417
Joe Gomez,LFC,Liverpool,DEF,2,0,0,0,0,true,sr:player:318927
Rhys Williams,LFC,Liverpool,DEF,46,0,0,0,0,true,sr:player:976937
Federico Chiesa,LFC,Liverpool,MID,14,0,0,0,0,true,sr:player:1012117
Giorgi Mamardashvili,LFC,Liverpool,GK,25,0,0,0,0,true,sr:player:1060981
Jeremie Frimpong,LFC,Liverpool,DEF,30,0,0,0,0,false,sr:player:1299404
Calvin Ramsey,LFC,Liverpool,DEF,22,0,0,0,0,true,sr:player:1840078
Tyler Morton,LFC,Liverpool,MID,80,0,0,0,0,true,sr:player:1939964
Florian Wirtz,LFC,Liverpool,MID,7,0,0,0,0,false,sr:player:2041927
Hugo Ekitike,LFC,Liverpool,FWD,22,0,0,0,0,false,sr:player:2083977
Stefan Bajcetic,LFC,Liverpool,DEF,43,0,0,0,0,true,sr:player:2264915
Luca Stephenson,LFC,Liverpool,MID,91,0,0,0,0,false,sr:player:2276769
Ben Doak,LFC,Liverpool,MID,50,0,0,0,0,true,sr:player:2281013
Armin Pecsi,LFC,Liverpool,GK,41,0,0,0,0,false,sr:player:2352479
Trey Nyoni,LFC,Liverpool,MID,42,0,0,0,0,true,sr:player:2714270
Rio Ngumoha,LFC,Liverpool,FWD,73,0,0,0,0,true,sr:player:2915821
Seamus Coleman,EVE,Everton,DEF,23,0,0,0,0,true,sr:player:76632
Mark Travers,EVE,Everton,GK,12,0,0,0,0,true,sr:player:934536
Tyler Onyango,EVE,Everton,MID,62,0,0,0,0,true,sr:player:2120438
Harry Tyrer,EVE,Everton,GK,53,0,0,0,0,true,sr:player:2125558
Thierno Barry,EVE,Everton,FWD,11,0,0,0,0,false,sr:player:2203482
Youssef Chermiti,EVE,Everton,FWD,17,0,0,0,0,true,sr:player:2265047
Adam Aznou,EVE,Everton,DEF,39,0,0,0,0,false,sr:player:2691724
Justin Clarke,EVE,Everton,FWD,57,0,0,0,0,false,sr:player:2728688
Harrison Armstrong,EVE,Everton,MID,45,0,0,0,0,true,sr:player:2836855
Isaac Heath,EVE,Everton,FWD,83,0,0,0,0,true,sr:player:2941525
Aled Thomas,EVE,Everton,DEF,90,0,0,0,0,true,sr:player:3029450
Jordan Henderson,BRE,Brentford,MID,6,0,0,0,0,false,sr:player:42694
Kristoffer Ajer,BRE,Brentford,DEF,20,0,0,0,0,true,sr:player:576384
Rico Henry,BRE,Brentford,DEF,3,0,0,0,0,true,sr:player:599128
Caoimhin Kelleher,BRE,Brentford,GK,1,0,0,0,0,true,sr:player:755360
Frank Onyeka,BRE,Brentford,MID,15,0,0,0,0,true,sr:player:959744
Paris Maghoma,BRE,Brentford,MID,32,0,0,0,0,true,sr:player:1058769
Ellery Balcombe,BRE,Brentford,GK,40,0,0,0,0,true,sr:player:1076218
Hakon Valdimarsson,BRE,Brentford,GK,12,0,0,0,0,true,sr:player:1141630
Sepp Van den Berg,BRE,Brentford,DEF,4,0,0,0,0,true,sr:player:1404425
Aaron Hickey,BRE,Brentford,MID,2,0,0,0,0,true,sr:player:1652589
Myles Peart-Harris,BRE,Brentford,MID,25,0,0,0,0,true,sr:player:1724648
Yehor Yarmoliuk,BRE,Brentford,MID,18,0,0,0,0,true,sr:player:1858626
Matthew Cox,BRE,Brentford,GK,13,0,0,0,0,true,sr:player:2065067
Antoni Milambo,BRE,Brentford,MID,17,0,0,0,0,false,sr:player:2190630
